trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
85,80,0.0001,4,,0.05921420000959188,35881,0.9973244892840222,0.0026755107159778246,86,28,6120,0.171021377672209,416.1046511627907,21.5,257,2763,0.9482480895252154,355.37890625
87,80,0.00015,4,,0.04775660001905635,35881,0.9948440678910844,0.0051559321089156285,81,28,6120,0.17144778126400717,440.69135802469134,24.0,257,2672,0.9480589051946513,352.046875
89,80,0.0002,4,,0.04862879996653646,35881,0.992001337755358,0.007998662244641963,72,28,6108,0.17160195538573916,494.3611111111111,29.0,240,2641,0.947277695754901,352.046875
261,1400,0.0005,4,,0.017809699987992644,35881,0.8369331958418105,0.16306680415818953,304,74,1700,0.05661005661005661,98.78289473684211,42.5,783,3223,0.9470363844031802,357.6484375
262,1400,0.0005,8,,0.021888199960812926,35881,0.8369331958418105,0.16306680415818953,250,74,2072,0.068997668997669,120.12,41.5,605,2932,0.9443627967339592,357.6953125
167,300,0.001,4,,0.016134899982716888,35881,0.8646080098102059,0.1353919901897941,93,53,3261,0.10511555942365342,333.5806451612903,126.0,390,3083,0.9443349556295075,356.65625
168,300,0.001,8,,0.018595000030472875,35881,0.8646080098102059,0.1353919901897941,77,47,3261,0.10511555942365342,402.8961038961039,159.0,297,2752,0.9442161136530551,356.66796875
93,80,0.0005,4,,0.06092250003712252,35881,0.9789024832083832,0.021097516791616755,57,28,6093,0.17347113085070037,616.2105263157895,81.0,213,2484,0.9430766280767544,351.98828125
79,80,3e-05,4,,0.03481340000871569,35881,0.9993032524177141,0.0006967475822858837,100,27,6120,0.1706827309236948,358.56,17.0,272,2760,0.9430312790518226,352.0078125
81,80,5e-05,4,,0.05662750004557893,35881,0.9993032524177141,0.0006967475822858837,100,27,6120,0.1706827309236948,358.56,17.0,272,2760,0.9420337550565574,355.75
91,80,0.0003,4,,0.053541500004939735,35881,0.988991388199883,0.01100861180011703,65,27,6108,0.17212421800146538,545.9384615384615,66.0,235,2585,0.9393061008879515,352.05859375
192,500,0.001,8,,0.016339800029527396,35881,0.7991694768819152,0.2008305231180848,96,52,3049,0.10632955536181343,298.6979166666667,110.5,356,2460,0.9277226029793502,356.703125
191,500,0.001,4,,0.016599100024905056,35881,0.7991694768819152,0.2008305231180848,112,60,3049,0.10632955536181343,256.0267857142857,107.0,433,2682,0.9277100547092139,356.76171875
96,80,0.001,8,,0.038651400012895465,35881,0.9486636381371757,0.05133636186282431,35,26,6702,0.1968918005816857,972.5428571428571,215.0,153,2158,0.9181564647639872,354.8984375
73,80,5e-06,4,,0.035548799962271005,35881,1.0,0.0,105,23,6120,0.17056380814358574,341.7238095238095,13.0,245,2598,0.916589524176587,354.92578125
